0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:46 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:24 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:32 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:32 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:41 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [31/May/2021:16:29:41 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:08 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:08 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:16 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:16 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:20 +0530] "GET /FlightSearchWebSpring/signup HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:20 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:25 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:46:25 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:47:29 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [31/May/2021:16:47:29 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:48:02 +0530] "GET /FlightSearchWebSpring/login HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:48:02 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
